,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
1.,AMADEUS IT GROUP SA,A84236934,MADRID,-3.65759666,40.43667119,31/12/2019,"1,012",176,6311,"Proceso de datos, hosting y actividades relacionadas","Servicios de procesamiento de datos,.","4,744,600,000",n.d.,"4,744,600,000","4,520,600,000","4,308,800,000","3,973,100,000","402,469,000","368,788,000","323,074,360","272,501,000","346,773,540","530,402,709","643,400,000",n.d.,"643,400,000","608,400,000","596,100,000","701,100,000","344,846,000","324,911,000","280,287,030","228,655,000","324,021,740","463,892,670",11.86,n.d.,11.86,11.17,11.95,14.91,24.00,20.55,18.19,15.90,21.52,83.16,58.58,n.d.,58.58,63.16,58.24,57.58,91.83,93.78,46.04,41.10,58.62,101.29,0.33,n.d.,0.33,0.51,0.48,0.43,0.88,0.66,1.55,1.36,1.21,1.70,79.75,n.d.,79.75,82.32,79.47,74.11,73.86,78.09,60.49,61.32,63.29,17.90,"1,012",n.d.,"1,012",976,971,847,14,4,4,15,16,4,548,n.d.,548,532,539,477,2,3,1,2,2,n.d.,475,n.d.,475,473,489,444,12,1,3,13,14,n.d.
2.,SANTANDER GLOBAL TECHNOLOGY SL.,B83325076,BOADILLA DEL MONTE,-3.86767937,40.39611081,31/12/2019,"1,875",749,6202,Actividades de consultoría informática,Prestación de servicios informáticos a las empresas del grupo,"1,115,271,000",n.d.,"1,115,271,000","994,169,000","522,663,000","644,941,000","723,618,000","674,452,000","764,728,000","814,015,000","703,890,000","621,219,000","22,772,000",n.d.,"22,772,000","81,301,000","29,949,000","9,263,000","26,325,000","30,739,000","20,258,000","17,706,000","13,735,000","13,894,000",1.97,n.d.,1.97,9.43,11.77,5.35,6.91,6.61,6.65,6.25,4.66,5.91,3.97,n.d.,3.97,22.44,20.33,9.93,14.49,13.90,14.91,18.25,14.20,17.49,1.09,n.d.,1.09,1.29,1.95,1.51,1.47,1.41,1.34,1.46,1.38,1.38,50.39,n.d.,50.39,57.97,42.11,46.07,52.32,52.43,55.37,65.74,67.15,66.19,"1,875",n.d.,"1,875","1,550",917,"1,305","1,440","2,076","1,741","2,712","1,504","1,384",481,n.d.,481,420,253,410,433,706,505,826,422,433,"1,394",n.d.,"1,394","1,130",563,915,979,"1,565","1,236","1,886","1,082",951
3.,"INDRA SISTEMAS, SOCIEDAD ANONIMA",A28599033,ALCOBENDAS,-3.6422479,40.52907739,31/12/2019,"6,263",237,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Prestación de servicios de consultoría y tecnología,"1,067,354,000",n.d.,"1,067,354,000","966,250,000","1,904,280,000","1,875,745,000","1,923,395,000","2,011,122,000","1,850,194,000","1,906,225,000","1,949,714,000","1,841,833,000","38,778,000",n.d.,"38,778,000","23,718,000","91,533,000","82,582,000","-466,182,000","-194,659,000","108,415,000","138,176,000","205,526,000","193,359,000",1.19,n.d.,1.19,1.00,2.93,3.18,-18.89,-7.44,3.67,5.06,8.11,8.82,5.64,n.d.,5.64,4.78,14.16,19.49,-123.56,-25.08,10.35,14.21,22.10,22.69,1.15,n.d.,1.15,1.17,0.94,1.19,1.05,1.33,1.59,1.26,1.30,1.33,78.84,n.d.,78.84,79.02,79.30,83.67,84.71,70.35,64.57,64.37,63.28,61.15,"6,015",n.d.,"6,015","5,601","11,546","11,666","13,136","12,786","12,654","12,886","12,749","11,975","1,541",n.d.,"1,541","1,460","3,547","3,470","4,149","4,075","4,037","4,019","4,000","3,812","4,515",n.d.,"4,515","4,158","8,243","7,968","8,987","8,711","8,617","8,743","8,749","8,163"
4.,ACCENTURE SLU,B79217790,MADRID,-3.69278423,40.44995887,31/08/2019,"3,449",683,6202,Actividades de consultoría informática,Servicios de consultoria,"997,746,867",n.d.,"997,746,867","969,712,781","863,386,115","760,840,076","682,189,656","611,819,992","636,260,935","656,678,070","645,844,336","706,446,998","83,506,783",n.d.,"83,506,783","55,154,875","22,797,661","52,811,089","18,842,372","38,646,336","38,310,526","28,450,502","52,437,988","42,097,766",22.64,n.d.,22.64,19.91,9.05,20.35,10.80,20.72,16.58,12.24,22.58,18.05,58.85,n.d.,58.85,60.54,27.50,67.89,53.47,73.58,67.34,72.82,85.97,74.98,1.41,n.d.,1.41,1.42,1.29,1.15,1.05,1.14,1.08,1.03,1.15,1.11,61.54,n.d.,61.54,67.11,67.09,70.02,79.79,71.84,75.38,83.19,73.73,75.93,"3,544",n.d.,"3,544","3,449","3,298","2,965","2,836","2,512","2,890","3,208","3,246","2,835","1,480",n.d.,"1,480","1,395","1,266","1,083",n.d.,909,957,"1,023","1,032","1,040","2,064",n.d.,"2,064","2,082","2,032","1,882",n.d.,"1,603","1,610","1,691","1,781","1,672"
5.,EVERIS SPAIN SL,B82387770,MADRID,-3.664281,40.485457,31/03/2019,"7,597",1280,7022,Otras actividades de consultoría de gestión empresarial,Servicios de consultoria multinacional,"856,529,000",n.d.,n.d.,"856,529,000","703,897,000","602,337,000","496,968,000","414,928,000","383,953,000","382,536,000","388,461,000","355,427,000","14,051,000",n.d.,n.d.,"14,051,000","16,664,000","-38,499,000","14,818,000","9,002,000","350,000","-3,842,000","6,966,000","15,504,000",2.14,n.d.,n.d.,2.14,2.87,-9.18,3.18,2.21,0.70,-1.80,3.49,7.89,11.32,n.d.,n.d.,11.32,13.63,-41.09,12.55,8.13,2.08,-8.97,15.55,35.81,1.40,n.d.,n.d.,1.40,1.17,1.29,1.32,1.70,1.01,1.11,1.12,1.32,81.09,n.d.,n.d.,81.09,78.93,77.66,74.65,72.78,66.61,79.91,77.54,77.96,"7,597",n.d.,n.d.,"7,597","6,901","6,034","5,253","4,785","4,593","4,957","4,852","4,253","2,114",n.d.,n.d.,"2,114","1,847","1,657","1,338","1,257","1,316","1,340","1,278","1,158","5,192",n.d.,n.d.,"5,192","4,585","4,026","3,460","3,254","3,500","3,606","3,323","2,968"
6.,IBM GLOBAL SERVICES ESPAÑA SA,A80599459,SAN FERNANDO DE HENARES,-3.50692356,40.45441805,31/12/2019,"1,746",686,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Prestación de servicios informáticos,"778,766,000",n.d.,"778,766,000","773,605,000","619,947,000","593,213,000","603,525,000","634,378,000","623,871,000","611,324,000","573,450,000","561,762,000","11,066,000",n.d.,"11,066,000","10,049,000","41,605,000","22,991,000","24,677,000","-63,623,000","31,844,000","48,007,000","38,486,000","32,540,000",1.87,n.d.,1.87,1.71,7.50,3.77,6.89,-16.20,7.18,17.07,15.25,14.19,16.34,n.d.,16.34,43.34,94.10,127.23,108.05,"-1,540.23",32.11,90.46,57.34,55.80,0.70,n.d.,0.70,0.71,0.77,0.65,0.89,0.90,1.13,1.21,1.20,1.26,88.54,n.d.,88.54,96.05,92.03,97.04,93.62,98.95,77.65,81.13,73.40,74.57,"2,183",n.d.,"2,183","2,054","1,746","1,622","2,044","2,097","2,160","2,202","2,197","2,167",n.d.,n.d.,n.d.,598,525,464,481,686,707,733,734,659,n.d.,n.d.,n.d.,"1,610","1,369","1,178","1,170","1,414","1,426","1,475","1,489","1,473"
7.,INTERNATIONAL BUSINESS MACHINES SA,A28010791,MADRID,-3.6662656,40.44394414,31/12/2019,"1,511",686,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"Artículo 4. Objeto Social. La Sociedad tendrá por objeto las siguientes actividades: = La venta, e: alquiler y el mantenimiento de equipos electrónicos y electrodomésticos de proceso de datos y control de procesos y sistemas de tratamiento de la información. =.","549,083,000",n.d.,"549,083,000","561,956,000","552,503,000","578,704,000","659,005,000","714,466,000","691,991,000","754,772,000","979,680,000","1,000,217,000","29,872,000",n.d.,"29,872,000","74,314,000","21,136,000","-25,728,000","36,634,000","-94,596,000","81,776,000","80,058,000","111,062,000","69,494,000",3.60,n.d.,3.60,7.34,2.83,-3.52,3.82,-11.05,8.52,9.62,15.34,8.59,13.30,n.d.,13.30,92.59,"3,525.35",579.57,39.12,168.42,59.37,146.41,64.17,58.81,1.44,n.d.,1.44,1.33,0.86,0.94,1.08,0.92,0.94,0.83,1.02,1.07,72.95,n.d.,72.95,92.07,99.92,100.61,90.24,106.56,85.65,93.43,76.09,85.39,967,n.d.,967,"1,050","1,112","1,191","1,381","1,511","1,574","1,639","1,711","1,726",411,n.d.,411,448,464,485,544,601,617,647,675,687,521,n.d.,521,572,613,636,718,848,927,959,"1,023","1,028"
8.,SAP ESPAÑA SISTEMAS APLICACIONES Y PRODUCTOS EN LA INFORMATICA SA,A58379629,MADRID,-3.65639049,40.44697949,31/12/2018,549,424,6202,Actividades de consultoría informática,Servicios de consultoría informática,"489,926,328",n.d.,n.d.,"489,926,328","423,029,548","347,099,301","312,038,876","271,953,444","257,753,209","231,226,110","233,045,610","222,526,979","25,614,518",n.d.,n.d.,"25,614,518","28,517,746","28,547,736","14,981,660","16,235,131","14,584,439","13,322,177","26,489,248","24,826,006",8.67,n.d.,n.d.,8.67,8.38,9.59,5.87,6.44,6.50,5.56,12.96,14.56,11.81,n.d.,n.d.,11.81,12.32,13.29,8.10,8.52,9.00,7.89,18.63,21.07,3.73,n.d.,n.d.,3.73,3.09,3.57,3.61,4.08,3.58,3.37,3.27,3.22,26.58,n.d.,n.d.,26.58,32.01,27.86,27.53,24.45,27.80,29.54,30.42,30.92,645,n.d.,n.d.,645,551,474,437,441,417,420,384,370,340,n.d.,n.d.,340,227,176,176,177,174,n.d.,155,226,440,n.d.,n.d.,440,360,274,261,253,242,n.d.,229,144
9.,SILK APLICACIONES SL.,B65663445,BARCELONA,2.12355097,41.38666047,31/12/2019,308,80,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Proveedor de servicios tecnológicos al grupo caixabank,"453,161,000",n.d.,"453,161,000","390,600,000","358,755,000","334,051,000","323,623,000","297,177,000","271,179,000","248,273,000",n.d.,n.d.,"1,443,000",n.d.,"1,443,000","1,134,000","815,000","1,687,000","1,574,000","1,493,000","1,804,000","1,132,000",n.d.,n.d.,1.14,n.d.,1.14,0.94,0.87,0.89,0.92,1.01,0.98,0.83,n.d.,n.d.,1.76,n.d.,1.76,1.36,1.32,1.23,1.25,1.26,1.20,0.97,n.d.,n.d.,1.41,n.d.,1.41,1.47,1.39,1.53,1.63,2.02,2.11,2.26,n.d.,n.d.,35.51,n.d.,35.51,31.26,33.92,27.96,25.78,20.28,18.41,14.60,n.d.,n.d.,308,n.d.,308,270,251,241,214,190,166,162,n.d.,n.d.,70,n.d.,70,62,63,62,54,48,44,43,n.d.,n.d.,263,n.d.,263,216,188,179,160,142,122,119,n.d.,n.d.
10.,ARROW ENTERPRISE COMPUTING SOLUTIONS SA.,A14113500,ALCOBENDAS,-3.656711,40.515031,31/12/2019,164,389,7022,Otras actividades de consultoría de gestión empresarial,"Mayorista en soluciones de almacenamiento, infraestructura y seguridad informática para todo tipo de empresas.","416,394,290",n.d.,"416,394,290","374,379,051","344,503,277","276,956,068","255,122,956","189,400,943","150,424,048","147,689,394","171,262,407","171,430,937","2,636,764",n.d.,"2,636,764","3,054,941","4,354,599","3,610,907","2,308,195","1,204,161","-491,004","173,393","1,281,120","952,998",2.29,n.d.,2.29,2.58,4.21,4.58,3.47,1.76,-1.06,0.33,2.83,1.74,10.14,n.d.,10.14,12.69,20.00,19.52,15.26,9.17,-3.99,1.37,10.23,8.20,1.28,n.d.,1.28,1.25,1.26,1.29,1.27,1.22,1.34,1.31,1.37,1.26,77.43,n.d.,77.43,79.69,78.96,76.52,77.27,80.75,73.41,75.92,72.30,78.75,242,n.d.,242,201,182,156,164,116,105,132,144,140,115,n.d.,115,76,57,53,46,46,40,57,n.d.,n.d.,131,n.d.,131,123,89,77,76,71,65,75,n.d.,n.d.
